# Server version 0.08 running on 192.168.1.104:8123
# Game ID: 8
# Board class: halma.CCBoard
# Timeout: 300000
# Date: Sun Mar 30 11:54:39 EDT 2014
# Player 1: Player-0, '260469756', running on localhost
# Player 2: Player-1, 'random', running on 192.168.1.104
# Player 3: Player-2, 'random', running on 192.168.1.104
# Player 4: Player-3, 'random', running on 192.168.1.104
START Player-0 260469756
START Player-1 random
START Player-2 random
START Player-3 random
0 (2,2) (3,3)
1 (14,3) (15,4)
2 (2,14) (4,14)
2 null null
3 (15,12) (14,11)
0 (0,0) (2,2)
0 null null
1 (15,4) (14,4)
2 (4,14) (4,13)
3 (12,14) (12,13)
0 (2,2) (4,4)
0 null null
1 (15,3) (14,3)
2 (4,13) (5,14)
3 (14,11) (15,10)
0 (4,4) (5,5)
1 (13,2) (12,3)
2 (1,14) (2,14)
3 (12,13) (11,13)
0 (5,5) (6,6)
1 (14,4) (13,5)
2 (2,13) (3,12)
3 (11,13) (11,14)
0 (6,6) (7,7)
1 (13,0) (13,2)
1 (13,2) (15,4)
1 (15,4) (13,2)
1 null null
2 (5,14) (4,15)
3 (13,13) (13,12)
0 (7,7) (8,8)
1 (13,1) (13,0)
2 (0,12) (1,11)
3 (11,14) (12,14)
0 (8,8) (9,9)
1 (15,2) (15,3)
2 (2,15) (1,14)
3 (15,13) (15,12)
0 (9,9) (10,10)
1 (12,3) (11,3)
2 (3,14) (4,14)
3 (14,14) (15,13)
0 (10,10) (11,11)
1 (13,2) (12,2)
2 (2,14) (3,13)
3 (12,14) (11,13)
0 (11,11) (12,12)
1 (15,0) (13,2)
1 (13,2) (15,0)
1 null null
2 (3,15) (2,14)
3 (14,12) (14,14)
3 (14,14) (14,12)
3 null null
0 (12,12) (13,13)
1 (15,0) (15,2)
1 (15,2) (15,4)
1 (15,4) (15,2)
1 (15,2) (15,0)
1 (15,0) (13,2)
1 (13,2) (15,0)
1 (15,0) (13,2)
1 (13,2) (11,0)
1 (11,0) (13,2)
1 (13,2) (11,2)
1 (11,2) (11,4)
1 null null
2 (3,12) (2,11)
3 (15,15) (14,14)
0 (13,13) (15,15)
0 null null
1 (14,0) (13,1)
2 (0,13) (2,13)
2 (2,13) (2,15)
2 null null
3 (11,13) (12,13)
0 (15,15) (13,13)
0 null null
1 (11,3) (10,2)
2 (1,11) (3,11)
2 null null
3 (15,12) (14,11)
0 (13,13) (15,15)
0 null null
1 (13,1) (14,0)
2 (3,13) (5,15)
2 (5,15) (3,15)
2 (3,15) (5,15)
2 (5,15) (3,13)
2 null null
3 (14,12) (14,10)
3 null null
0 (15,15) (13,13)
0 null null
1 (13,5) (13,4)
2 (0,14) (0,13)
3 (15,13) (14,12)
0 (13,13) (15,15)
0 null null
1 (11,4) (10,5)
2 (1,13) (0,12)
3 (14,12) (15,12)
0 (15,15) (15,13)
0 null null
1 (13,4) (13,3)
2 (4,14) (3,15)
3 (12,15) (12,14)
0 (15,13) (15,15)
0 null null
1 (14,3) (13,4)
2 (2,11) (2,10)
3 (13,12) (14,12)
0 (15,15) (15,13)
0 null null
1 (15,3) (15,4)
2 (3,13) (4,14)
3 (13,15) (15,15)
3 (15,15) (13,13)
3 (13,13) (15,11)
3 (15,11) (13,9)
3 (13,9) (15,11)
3 null null
0 (15,13) (15,15)
0 null null
1 (10,2) (11,3)
2 (1,12) (2,12)
3 (12,13) (11,13)
0 (15,15) (15,13)
0 null null
1 (12,2) (12,3)
2 (2,15) (3,14)
3 (15,14) (15,15)
0 (15,13) (15,14)
1 (12,0) (13,1)
2 (3,14) (2,15)
3 (15,15) (13,15)
3 (13,15) (15,13)
3 null null
0 (15,14) (15,15)
1 (12,1) (11,2)
2 (3,15) (5,15)
2 null null
3 (12,14) (11,15)
0 (15,15) (15,14)
1 (14,2) (14,3)
2 (3,11) (4,12)
3 (14,12) (13,13)
0 (15,14) (15,15)
1 (13,1) (12,2)
2 (2,10) (1,10)
3 (11,13) (12,13)
0 (15,15) (15,14)
1 (10,5) (10,4)
2 (5,15) (6,14)
3 (13,13) (11,13)
3 null null
0 (15,14) (15,15)
1 (14,3) (13,2)
2 (4,14) (5,13)
3 (14,14) (15,14)
0 (15,15) (14,14)
1 (15,4) (14,5)
2 (4,12) (3,13)
3 (14,13) (14,12)
0 (14,14) (15,15)
1 (13,3) (14,4)
2 (0,12) (0,11)
3 (11,13) (11,14)
0 (15,15) (14,14)
1 (13,4) (12,4)
2 (4,15) (3,15)
3 (15,12) (13,12)
3 (13,12) (15,12)
3 null null
0 (14,14) (15,15)
1 (12,2) (11,1)
2 (0,11) (2,9)
2 null null
3 (14,10) (14,9)
0 (15,15) (14,14)
1 (11,2) (12,2)
2 (0,13) (1,13)
3 (14,12) (14,10)
3 (14,10) (14,8)
3 null null
0 (14,14) (15,15)
