# Server version 0.08 running on 192.168.1.104:8123
# Game ID: 13
# Board class: halma.CCBoard
# Timeout: 300000
# Date: Sun Mar 30 14:16:02 EDT 2014
# Player 1: Player-0, 'random', running on 192.168.1.104
# Player 2: Player-1, 'random', running on 192.168.1.104
# Player 3: Player-2, 'random', running on 192.168.1.104
# Player 4: Player-3, '260469756', running on localhost
START Player-0 random
START Player-1 random
START Player-2 random
START Player-3 260469756
0 (1,3) (1,4)
1 (12,0) (11,1)
2 (1,14) (3,12)
2 null null
3 (14,14) (12,12)
3 null null
0 (3,0) (3,2)
0 null null
1 (11,1) (12,0)
2 (1,12) (1,14)
2 null null
3 (13,13) (11,11)
3 null null
0 (3,1) (3,0)
1 (15,3) (14,4)
2 (2,15) (4,15)
2 (4,15) (2,15)
2 (2,15) (4,13)
2 (4,13) (2,15)
2 (2,15) (4,15)
2 null null
3 (11,11) (10,10)
0 (1,4) (2,3)
1 (13,2) (11,0)
1 (11,0) (13,2)
1 null null
2 (4,15) (5,14)
3 (10,10) (9,9)
0 (0,3) (0,4)
1 (13,0) (11,2)
1 null null
2 (1,15) (3,13)
2 null null
3 (9,9) (8,8)
0 (0,4) (0,5)
1 (14,2) (13,3)
2 (0,13) (1,12)
3 (8,8) (7,7)
0 (3,2) (4,2)
1 (13,3) (12,2)
2 (1,12) (2,11)
3 (7,7) (6,6)
0 (1,1) (3,1)
0 (3,1) (1,3)
0 (1,3) (3,3)
0 (3,3) (1,1)
0 (1,1) (3,3)
0 (3,3) (1,1)
0 (1,1) (1,3)
0 (1,3) (3,3)
0 (3,3) (1,3)
0 (1,3) (3,1)
0 (3,1) (1,3)
0 (1,3) (3,1)
0 null null
1 (14,4) (13,5)
2 (0,12) (1,11)
3 (6,6) (5,5)
0 (0,5) (1,4)
1 (13,5) (12,5)
2 (2,14) (4,12)
2 (4,12) (2,12)
2 (2,12) (2,14)
2 (2,14) (2,12)
2 (2,12) (0,10)
2 (0,10) (2,12)
2 (2,12) (4,12)
2 null null
3 (5,5) (4,4)
0 (2,1) (0,3)
0 null null
1 (12,0) (13,0)
2 (3,14) (4,14)
3 (4,4) (3,3)
0 (1,0) (1,1)
1 (13,1) (13,3)
1 null null
2 (1,13) (2,12)
3 (3,3) (1,3)
GAMEOVER USER CANCEL
UNDECIDED
