# Server version 0.08 running on 192.168.1.104:8123
# Game ID: 27
# Board class: halma.CCBoard
# Timeout: 300000
# Date: Sun Mar 30 15:11:37 EDT 2014
# Player 1: Player-0, 'random', running on 192.168.1.104
# Player 2: Player-1, '260469756', running on localhost
# Player 3: Player-2, 'random', running on 192.168.1.104
# Player 4: Player-3, 'random', running on 192.168.1.104
START Player-0 random
START Player-1 260469756
START Player-2 random
START Player-3 random
0 (0,1) (2,3)
0 null null
1 (14,3) (15,4)
2 (3,15) (4,15)
3 (13,14) (12,13)
0 (2,3) (2,4)
1 (15,4) (14,5)
2 (4,15) (5,15)
3 (15,12) (13,14)
3 (13,14) (11,14)
3 (11,14) (13,14)
3 null null
0 (2,4) (3,3)
1 (14,5) (13,6)
2 (2,15) (4,13)
2 (4,13) (2,15)
2 (2,15) (4,13)
2 null null
3 (12,14) (11,15)
0 (3,3) (3,4)
1 (13,6) (12,7)
2 (4,13) (4,14)
3 (13,13) (12,14)
0 (1,2) (3,2)
0 (3,2) (1,2)
0 (1,2) (3,2)
0 null null
1 (12,7) (11,8)
2 (1,13) (3,15)
2 (3,15) (3,13)
2 (3,13) (1,13)
2 (1,13) (3,15)
2 (3,15) (3,13)
2 (3,13) (1,13)
2 null null
3 (14,12) (13,11)
0 (2,2) (1,2)
1 (11,8) (10,9)
2 (0,13) (2,15)
2 (2,15) (0,13)
2 (0,13) (2,15)
2 (2,15) (4,13)
2 (4,13) (4,15)
2 (4,15) (4,13)
2 (4,13) (2,15)
2 (2,15) (4,13)
2 null null
3 (13,11) (12,12)
0 (0,2) (2,2)
0 (2,2) (4,2)
0 (4,2) (2,2)
0 (2,2) (0,4)
0 null null
1 (10,9) (9,10)
2 (4,14) (4,15)
3 (15,15) (13,13)
3 null null
0 (2,0) (4,0)
0 (4,0) (2,2)
0 (2,2) (0,2)
0 (0,2) (2,2)
0 (2,2) (2,0)
0 (2,0) (2,2)
0 (2,2) (2,0)
0 (2,0) (4,2)
0 (4,2) (2,2)
0 null null
1 (9,10) (8,11)
2 (2,13) (3,13)
3 (13,15) (11,13)
3 (11,13) (13,11)
3 (13,11) (11,13)
3 null null
0 (3,4) (4,4)
1 (8,11) (7,12)
2 (1,15) (2,15)
3 (12,12) (13,11)
0 (3,1) (4,2)
1 (7,12) (6,13)
2 (0,14) (0,13)
3 (13,14) (11,12)
3 (11,12) (13,14)
3 (13,14) (15,12)
3 null null
0 (0,0) (2,0)
0 (2,0) (0,2)
0 (0,2) (2,0)
0 (2,0) (0,2)
0 (0,2) (2,4)
0 null null
1 (6,13) (5,14)
2 (4,13) (4,12)
3 (13,13) (12,12)
0 (1,2) (2,3)
1 (5,14) (4,14)
2 (1,12) (2,12)
3 (14,14) (13,14)
0 (0,4) (0,5)
1 (4,14) (3,15)
2 (3,13) (1,11)
2 (1,11) (3,13)
2 null null
3 (13,11) (14,11)
0 (0,5) (0,4)
1 (3,15) (1,15)
1 null null
2 (2,14) (3,15)
3 (12,15) (13,15)
0 (1,3) (0,2)
1 (1,15) (0,14)
2 (0,12) (1,11)
3 (12,13) (12,11)
3 null null
0 (3,2) (3,1)
1 (0,14) (1,15)
2 (4,15) (5,14)
3 (11,15) (11,14)
0 (2,4) (3,5)
1 (1,15) (0,14)
2 (4,12) (3,11)
3 (12,14) (14,14)
3 (14,14) (14,12)
3 null null
0 (1,1) (1,2)
1 (0,14) (1,15)
2 (1,13) (1,12)
3 (14,13) (13,12)
0 (4,4) (4,5)
1 (1,15) (0,14)
2 (3,11) (4,11)
3 (11,14) (10,15)
0 (3,5) (3,6)
1 (0,14) (1,15)
2 (3,13) (4,12)
3 (11,13) (11,12)
0 (2,3) (3,3)
1 (1,15) (0,14)
