# Server version 0.08 running on wpa070026.wireless.mcgill.ca:8123
# Game ID: 31
# Board class: halma.CCBoard
# Timeout: 300000
# Date: Tue Apr 01 11:33:44 EDT 2014
# Player 1: Player-0, '260469756', running on localhost
# Player 2: Player-1, 'XXXXXXXXX', running on localhost
# Player 3: Player-2, 'XXXXXXXXX', running on localhost
# Player 4: Player-3, '260469756', running on localhost
START Player-0 260469756
START Player-1 XXXXXXXXX
START Player-2 XXXXXXXXX
START Player-3 260469756
0 (1,1) (3,3)
0 null null
1 (13,0) (11,2)
1 null null
2 (2,14) (3,13)
3 (14,14) (12,12)
3 null null
0 (2,2) (4,4)
0 null null
1 (13,2) (12,3)
2 (3,13) (3,12)
3 (13,13) (11,11)
3 null null
0 (0,2) (2,4)
0 null null
1 (12,1) (12,2)
2 (3,12) (3,11)
3 (15,13) (13,11)
3 null null
0 (1,3) (3,5)
0 null null
1 (11,2) (11,3)
2 (1,14) (2,14)
3 (14,12) (12,10)
3 null null
0 (2,0) (4,2)
0 null null
1 (13,1) (13,2)
2 (2,15) (1,14)
3 (13,15) (11,13)
3 null null
0 (3,1) (5,3)
0 null null
1 (12,3) (12,1)
1 null null
2 (0,13) (0,11)
2 null null
3 (12,14) (10,12)
3 null null
0 (0,1) (2,3)
0 null null
1 (13,2) (12,3)
2 (3,11) (3,12)
3 (15,14) (13,12)
3 null null
0 (1,2) (3,4)
0 null null
1 (14,3) (13,4)
2 (3,12) (3,11)
3 (14,13) (12,11)
3 null null
0 (1,0) (3,2)
0 null null
1 (13,4) (12,4)
2 (3,14) (4,15)
3 (14,15) (12,13)
3 null null
0 (2,1) (4,3)
0 null null
1 (12,2) (13,2)
2 (0,12) (0,10)
2 null null
3 (13,14) (11,12)
3 null null
0 (3,0) (4,1)
1 (12,4) (10,2)
1 (10,2) (12,4)
1 null null
2 (4,15) (3,14)
3 (12,15) (11,14)
0 (0,3) (1,4)
1 (12,4) (12,5)
2 (2,14) (2,12)
2 (2,12) (4,10)
