# Server version 0.08 running on wpa070045.wireless.mcgill.ca:8123
# Game ID: 52
# Board class: halma.CCBoard
# Timeout: 300000
# Date: Tue Apr 01 17:45:14 EDT 2014
# Player 1: Player-0, 'random', running on wpa070045.wireless.mcgill.ca
# Player 2: Player-1, 'random', running on wpa070045.wireless.mcgill.ca
# Player 3: Player-2, 'random', running on wpa070045.wireless.mcgill.ca
# Player 4: Player-3, '260469756', running on localhost
START Player-0 random
START Player-1 random
START Player-2 random
START Player-3 260469756
0 (0,3) (0,4)
1 (14,3) (14,4)
2 (0,12) (1,11)
3 (14,14) (12,12)
3 null null
0 (1,3) (1,4)
1 (13,1) (11,1)
1 (11,1) (13,1)
1 (13,1) (11,1)
1 (11,1) (13,1)
1 null null
2 (2,13) (4,15)
2 null null
3 (13,13) (11,11)
3 null null
0 (1,4) (2,4)
1 (14,4) (13,3)
2 (1,13) (0,12)
3 (14,15) (12,13)
3 (12,13) (12,11)
3 (12,11) (10,11)
3 null null
0 (3,1) (3,2)
1 (12,1) (11,0)
2 (3,14) (3,13)
3 (12,12) (10,10)
3 null null
0 (2,2) (1,3)
1 (15,2) (14,3)
2 (3,15) (5,15)
2 (5,15) (3,15)
2 null null
3 (11,11) (9,9)
3 null null
0 (2,0) (4,0)
0 null null
1 (13,2) (12,2)
2 (1,11) (1,10)
3 (10,10) (8,8)
3 null null
0 (0,4) (0,3)
1 (14,3) (15,2)
2 (4,15) (5,14)
3 (9,9) (7,7)
3 null null
0 (3,0) (3,1)
1 (12,2) (12,3)
2 (3,13) (3,12)
3 (8,8) (6,6)
3 null null
0 (2,4) (3,5)
1 (13,1) (12,1)
2 (1,12) (2,11)
3 (7,7) (5,5)
3 null null
0 (3,2) (2,3)
1 (12,1) (13,2)
2 (2,14) (2,13)
3 (6,6) (4,4)
3 null null
0 (1,3) (2,4)
1 (14,2) (12,2)
1 (12,2) (12,4)
1 (12,4) (12,2)
1 null null
2 (3,15) (4,14)
3 (5,5) (3,3)
3 (3,3) (1,3)
3 null null
0 (2,1) (2,0)
1 (13,2) (14,3)
2 (4,14) (5,13)
3 (15,14) (13,12)
3 null null
0 (3,1) (2,2)
1 (12,2) (12,4)
1 (12,4) (12,2)
1 (12,2) (12,4)
1 (12,4) (12,2)
1 (12,2) (14,4)
1 (14,4) (14,2)
1 (14,2) (14,4)
1 null null
2 (2,11) (0,9)
2 (0,9) (2,11)
2 (2,11) (4,13)
2 (4,13) (6,15)
2 null null
3 (13,15) (11,13)
3 null null
0 (2,4) (3,4)
1 (13,0) (13,1)
2 (5,13) (6,14)
3 (12,14) (10,12)
3 (10,12) (10,10)
3 null null
0 (0,3) (2,1)
0 (2,1) (0,3)
0 (0,3) (2,1)
0 (2,1) (0,3)
0 (0,3) (2,1)
0 (2,1) (0,3)
0 null null
1 (14,4) (13,5)
2 (1,10) (0,9)
3 (15,13) (13,11)
3 null null
0 (2,0) (2,1)
1 (13,5) (14,4)
2 (6,15) (7,14)
3 (14,12) (12,10)
3 null null
0 (1,0) (3,2)
0 null null
1 (14,3) (15,4)
2 (0,14) (1,13)
3 (13,11) (11,9)
3 null null
0 (3,4) (3,6)
0 null null
1 (14,1) (12,1)
1 null null
2 (7,14) (7,15)
3 (12,10) (10,8)
3 null null
0 (1,2) (1,0)
0 (1,0) (1,2)
0 (1,2) (3,0)
0 (3,0) (5,0)
0 (5,0) (3,0)
0 null null
1 (15,0) (14,1)
2 (1,15) (2,14)
3 (11,9) (9,7)
3 null null
0 (0,3) (0,4)
1 (12,3) (11,3)
2 (6,14) (6,15)
3 (10,8) (8,6)
3 null null
0 (3,6) (2,5)
1 (15,3) (15,5)
1 null null
2 (1,13) (2,12)
3 (9,7) (7,5)
3 null null
0 (3,2) (4,3)
1 (13,3) (12,4)
2 (3,12) (4,12)
3 (8,6) (6,4)
3 null null
0 (2,5) (2,6)
1 (13,1) (13,0)
2 (5,14) (5,15)
3 (7,5) (5,3)
3 (5,3) (3,3)
3 null null
0 (0,1) (1,2)
1 (15,5) (15,6)
2 (2,15) (3,14)
3 (14,13) (12,11)
3 null null
0 (2,1) (1,0)
1 (14,4) (14,5)
2 (5,15) (5,14)
3 (13,12) (11,10)
3 (11,10) (9,10)
3 null null
0 (3,5) (4,6)
1 (14,0) (14,2)
1 null null
2 (0,13) (1,12)
3 (10,11) (8,9)
3 null null
0 (4,6) (4,7)
1 (15,2) (15,3)
2 (5,14) (4,15)
3 (9,10) (7,8)
3 null null
0 (2,2) (2,4)
0 null null
1 (15,6) (15,7)
2 (0,12) (1,13)
3 (8,9) (6,7)
3 null null
0 (2,4) (2,2)
0 null null
1 (13,0) (11,2)
1 null null
2 (3,14) (4,13)
3 (7,8) (5,6)
3 null null
0 (0,0) (0,1)
1 (15,4) (15,5)
2 (1,14) (0,14)
3 (6,7) (4,5)
3 null null
0 (0,2) (2,4)
0 (2,4) (4,2)
0 null null
1 (11,2) (11,1)
2 (1,12) (2,11)
3 (5,6) (3,4)
3 (3,4) (3,2)
3 null null
0 (4,0) (3,1)
1 (11,1) (10,1)
2 (7,15) (8,14)
GAMEOVER USER CANCEL
UNDECIDED
# Game ended: Tue Apr 01 17:47:51 EDT 2014
