# Server version 0.08 running on 192.168.1.104:8123
# Game ID: 77
# Board class: halma.CCBoard
# Timeout: 300000
# Date: Tue Apr 01 23:43:13 EDT 2014
# Player 1: Player-0, 'random', running on 192.168.1.104
# Player 2: Player-1, 'random', running on 192.168.1.104
# Player 3: Player-2, 'random', running on 192.168.1.104
# Player 4: Player-3, '260469756', running on localhost
START Player-0 random
START Player-1 random
START Player-2 random
START Player-3 260469756
0 (3,0) (3,2)
0 (3,2) (3,0)
0 (3,0) (3,2)
0 (3,2) (3,0)
0 null null
1 (13,2) (13,3)
2 (1,12) (2,11)
3 (14,14) (12,12)
3 null null
0 (1,3) (0,4)
1 (12,1) (11,2)
2 (3,15) (3,13)
2 null null
3 (14,15) (12,13)
3 (12,13) (12,11)
3 null null
0 (1,2) (1,3)
1 (12,0) (11,0)
2 (2,11) (3,10)
3 (15,14) (13,12)
3 (13,12) (11,10)
3 null null
0 (3,1) (4,0)
1 (13,3) (12,2)
2 (3,14) (4,15)
3 (13,15) (11,13)
3 (11,13) (13,11)
3 (13,11) (11,11)
3 (11,11) (11,9)
3 null null
0 (2,1) (1,2)
1 (12,2) (10,2)
1 (10,2) (12,2)
1 null null
2 (1,13) (2,12)
3 (12,12) (12,10)
3 (12,10) (10,8)
3 null null
0 (0,3) (1,4)
1 (14,1) (12,1)
1 (12,1) (12,3)
1 (12,3) (10,1)
1 null null
2 (1,15) (1,13)
2 null null
3 (12,14) (14,14)
3 (14,14) (12,12)
3 (12,12) (12,10)
3 (12,10) (10,10)
3 null null
0 (3,0) (2,1)
1 (14,2) (13,3)
2 (3,10) (2,11)
3 (15,13) (13,11)
3 (13,11) (11,11)
3 (11,11) (9,9)
3 null null
0 (2,2) (2,3)
1 (11,0) (11,1)
2 (1,14) (3,12)
2 null null
3 (12,11) (10,9)
3 (10,9) (10,7)
3 null null
0 (2,1) (3,2)
1 (13,3) (13,4)
2 (3,12) (4,12)
3 (11,10) (11,8)
3 (11,8) (9,6)
3 null null
0 (0,0) (2,2)
0 (2,2) (4,2)
0 (4,2) (2,2)
0 (2,2) (0,0)
0 (0,0) (2,2)
0 null null
1 (14,0) (12,0)
1 null null
2 (2,11) (3,11)
3 (11,9) (9,7)
3 (9,7) (9,5)
3 null null
0 (2,3) (3,4)
1 (13,4) (14,4)
2 (2,15) (3,15)
3 (10,8) (10,6)
3 (10,6) (8,4)
3 null null
0 (2,2) (2,1)
1 (12,0) (14,2)
1 (14,2) (12,0)
1 (12,0) (14,0)
1 null null
2 (3,13) (3,14)
3 (10,7) (8,5)
3 (8,5) (8,3)
3 null null
0 (1,3) (2,4)
1 (14,4) (14,2)
1 (14,2) (14,4)
1 null null
2 (0,13) (0,11)
2 null null
3 (9,6) (9,4)
3 (9,4) (7,2)
3 null null
0 (1,2) (0,3)
1 (11,2) (11,3)
2 (2,13) (2,15)
2 (2,15) (2,13)
2 null null
3 (9,5) (7,3)
3 (7,3) (7,1)
3 null null
0 (4,0) (4,1)
1 (13,0) (13,2)
1 (13,2) (15,4)
1 (15,4) (13,2)
1 (13,2) (13,0)
1 (13,0) (13,2)
1 (13,2) (15,4)
1 (15,4) (13,2)
1 (13,2) (13,0)
1 null null
2 (2,14) (1,14)
3 (8,4) (8,2)
3 (8,2) (6,0)
3 null null
0 (1,0) (0,0)
1 (11,3) (10,3)
2 (2,13) (0,13)
2 null null
3 (10,10) (8,8)
3 null null
0 (3,2) (1,0)
0 (1,0) (3,0)
0 (3,0) (1,2)
0 (1,2) (3,0)
0 (3,0) (1,0)
0 (1,0) (3,0)
0 (3,0) (5,2)
0 null null
1 (10,3) (10,4)
2 (3,11) (4,11)
3 (7,2) (7,0)
3 (7,0) (5,0)
3 (5,0) (3,2)
3 (3,2) (1,0)
3 null null
0 (2,0) (3,1)
1 (10,4) (11,5)
2 (1,14) (2,13)
3 (9,9) (7,7)
3 null null
0 (0,2) (1,3)
1 (15,2) (15,4)
1 (15,4) (13,4)
1 (13,4) (15,2)
1 (15,2) (13,4)
1 null null
2 (2,13) (2,14)
3 (8,8) (6,6)
3 null null
0 (0,4) (2,2)
0 null null
1 (13,1) (12,0)
2 (3,15) (3,13)
2 (3,13) (5,11)
2 (5,11) (3,11)
2 (3,11) (5,13)
2 (5,13) (3,11)
2 (3,11) (5,11)
2 null null
3 (7,7) (5,5)
3 null null
0 (1,4) (0,4)
1 (15,3) (15,4)
2 (3,14) (1,14)
2 (1,14) (3,14)
2 (3,14) (1,14)
2 (1,14) (1,12)
2 (1,12) (3,12)
2 null null
3 (6,6) (4,4)
3 null null
0 (5,2) (6,3)
1 (11,1) (11,2)
2 (4,12) (5,13)
3 (5,5) (3,3)
3 null null
0 (3,4) (4,3)
1 (15,0) (15,2)
1 null null
2 (5,11) (6,10)
