# Server version 0.08 running on wpa070017.wireless.mcgill.ca:8123
# Game ID: 89
# Board class: halma.CCBoard
# Timeout: 300000
# Date: Wed Apr 02 08:36:13 EDT 2014
# Player 1: Player-0, 'random', running on wpa070017.wireless.mcgill.ca
# Player 2: Player-1, '260469756', running on localhost
# Player 3: Player-2, '260469756', running on localhost
# Player 4: Player-3, 'random', running on wpa070017.wireless.mcgill.ca
START Player-0 random
START Player-1 260469756
START Player-2 260469756
START Player-3 random
0 (3,1) (3,2)
1 (15,1) (13,3)
1 null null
2 (0,14) (2,12)
2 null null
3 (14,12) (15,11)
0 (3,2) (4,3)
1 (14,0) (12,2)
1 null null
2 (1,13) (3,11)
2 null null
3 (15,12) (14,11)
0 (2,1) (3,1)
1 (14,1) (12,3)
1 null null
2 (0,13) (2,11)
2 (2,11) (4,11)
2 null null
3 (12,14) (11,15)
0 (2,0) (2,1)
1 (13,2) (11,4)
1 null null
2 (1,14) (3,12)
2 (3,12) (5,10)
2 null null
3 (14,11) (15,12)
0 (3,1) (3,2)
1 (13,1) (11,3)
1 (11,3) (11,5)
1 null null
2 (2,12) (4,10)
2 (4,10) (6,10)
2 null null
3 (13,15) (12,14)
0 (3,2) (3,3)
1 (14,2) (12,4)
1 (12,4) (10,6)
1 null null
2 (0,12) (2,12)
2 (2,12) (4,10)
2 null null
3 (15,11) (14,11)
0 (1,0) (3,2)
0 null null
1 (12,3) (10,5)
1 (10,5) (10,7)
1 null null
2 (3,11) (5,11)
2 (5,11) (7,9)
2 null null
3 (14,14) (12,12)
3 (12,12) (14,14)
3 null null
0 (3,3) (4,4)
1 (11,4) (11,6)
1 (11,6) (9,8)
1 null null
2 (6,10) (8,8)
2 (8,8) (10,8)
2 null null
3 (15,12) (13,10)
3 null null
0 (0,1) (2,3)
0 (2,3) (0,1)
0 null null
1 (10,7) (8,9)
1 (8,9) (6,9)
1 null null
2 (4,10) (6,10)
2 (6,10) (8,8)
2 null null
3 (14,11) (12,9)
3 (12,9) (14,11)
3 null null
0 (1,2) (1,4)
0 (1,4) (1,2)
0 (1,2) (1,0)
0 null null
1 (11,5) (9,7)
1 (9,7) (9,9)
1 null null
2 (7,9) (9,7)
2 (9,7) (11,5)
2 null null
3 (14,14) (12,12)
3 (12,12) (14,14)
3 (14,14) (14,12)
3 null null
0 (4,3) (5,2)
1 (9,9) (9,7)
1 (9,7) (7,9)
1 (7,9) (5,9)
1 (5,9) (5,11)
1 (5,11) (3,11)
1 null null
2 (2,14) (2,12)
2 (2,12) (4,10)
2 (4,10) (6,10)
2 (6,10) (6,8)
2 null null
3 (11,15) (13,15)
3 (13,15) (11,15)
3 null null
0 (5,2) (6,2)
1 (9,8) (7,8)
1 (7,8) (5,8)
1 null null
2 (5,10) (7,8)
2 (7,8) (9,8)
2 (9,8) (11,8)
2 null null
3 (15,13) (15,12)
0 (0,2) (1,2)
1 (5,8) (7,8)
1 (7,8) (5,10)
1 (5,10) (3,12)
1 (3,12) (1,14)
1 null null
2 (2,15) (4,13)
2 null null
3 (12,15) (10,15)
3 null null
0 (1,1) (3,1)
0 (3,1) (1,1)
0 (1,1) (3,1)
0 (3,1) (3,3)
0 (3,3) (3,1)
0 (3,1) (3,3)
0 (3,3) (5,5)
0 null null
1 (13,0) (11,0)
1 (11,0) (13,2)
1 (13,2) (11,2)
1 null null
2 (3,14) (5,12)
2 (5,12) (3,10)
2 (3,10) (3,12)
2 (3,12) (5,10)
2 (5,10) (7,8)
2 (7,8) (9,8)
2 null null
3 (10,15) (9,14)
0 (2,2) (4,2)
0 (4,2) (2,2)
0 (2,2) (4,2)
0 null null
1 (15,2) (13,4)
1 null null
2 (1,12) (3,14)
2 (3,14) (5,12)
2 (5,12) (3,10)
2 (3,10) (3,12)
2 (3,12) (5,10)
2 (5,10) (7,8)
2 null null
3 (14,13) (12,13)
3 null null
0 (4,4) (6,6)
0 (6,6) (4,4)
0 null null
1 (14,3) (12,5)
1 (12,5) (10,5)
1 (10,5) (10,7)
1 (10,7) (8,9)
1 null null
2 (1,15) (1,13)
2 (1,13) (3,13)
2 (3,13) (5,13)
2 null null
3 (15,12) (14,13)
0 (0,1) (0,2)
1 (12,1) (12,3)
1 (12,3) (14,3)
1 (14,3) (12,5)
1 (12,5) (10,5)
1 (10,5) (10,7)
1 (10,7) (10,9)
1 null null
2 (4,13) (6,13)
2 null null
3 (14,13) (15,13)
0 (1,0) (2,0)
1 (15,0) (14,1)
2 (6,13) (7,12)
3 (14,12) (15,11)
0 (4,2) (5,2)
1 (8,9) (7,10)
2 (2,13) (3,12)
3 (14,11) (14,12)
0 (3,2) (3,1)
1 (6,9) (8,11)
1 (8,11) (6,13)
1 (6,13) (4,13)
1 null null
2 (0,15) (2,13)
2 null null
3 (12,13) (11,14)
0 (5,2) (4,3)
1 (4,13) (3,14)
2 (2,13) (4,15)
2 (4,15) (2,15)
2 (2,15) (4,13)
2 (4,13) (6,13)
2 (6,13) (8,11)
2 (8,11) (6,9)
2 (6,9) (8,7)
2 (8,7) (8,9)
2 (8,9) (10,7)
2 (10,7) (10,5)
2 (10,5) (12,5)
2 (12,5) (14,3)
2 null null
3 (11,14) (10,14)
0 (5,5) (6,4)
1 (10,9) (10,7)
1 (10,7) (8,9)
1 (8,9) (8,7)
1 (8,7) (6,9)
1 (6,9) (8,11)
1 (8,11) (6,13)
1 (6,13) (4,13)
1 (4,13) (2,15)
1 null null
2 (4,11) (2,11)
2 (2,11) (4,13)
2 (4,13) (6,13)
2 (6,13) (8,11)
2 (8,11) (6,9)
2 (6,9) (8,7)
2 (8,7) (10,9)
2 (10,9) (10,7)
2 (10,7) (10,5)
2 (10,5) (12,5)
2 null null
3 (13,14) (13,15)
0 (0,3) (0,4)
1 (13,4) (11,6)
1 (11,6) (9,6)
1 null null
2 (3,12) (4,11)
3 (11,15) (10,15)
0 (2,0) (1,1)
1 (12,2) (14,4)
1 (14,4) (14,2)
1 (14,2) (12,4)
1 (12,4) (12,6)
1 null null
2 (11,5) (13,5)
2 null null
3 (10,14) (9,13)
0 (1,1) (1,0)
1 (9,6) (8,7)
2 (7,8) (9,6)
2 (9,6) (11,6)
2 (11,6) (13,4)
2 (13,4) (15,2)
2 null null
3 (12,14) (12,13)
0 (2,1) (0,3)
0 (0,3) (2,1)
0 (2,1) (0,3)
0 (0,3) (0,5)
0 (0,5) (0,3)
0 (0,3) (0,5)
0 null null
1 (8,7) (10,9)
1 (10,9) (10,7)
1 (10,7) (8,9)
1 (8,9) (6,11)
1 (6,11) (8,13)
1 (8,13) (10,13)
1 (10,13) (8,15)
1 null null
2 (8,8) (9,7)
3 (13,10) (12,11)
0 (6,4) (7,5)
1 (10,6) (8,8)
1 null null
2 (6,8) (7,7)
3 (12,11) (12,12)
0 (4,4) (5,4)
1 (8,8) (7,9)
2 (7,7) (8,6)
