# Server version 0.08 running on 192.168.1.104:8123
# Game ID: 93
# Board class: halma.CCBoard
# Timeout: 300000
# Date: Thu Apr 03 22:56:27 EDT 2014
# Player 1: Player-0, '260469756', running on localhost
# Player 2: Player-1, 'random', running on 192.168.1.104
# Player 3: Player-2, 'random', running on 192.168.1.104
# Player 4: Player-3, '260469756', running on localhost
START Player-0 260469756
START Player-1 random
START Player-2 random
START Player-3 260469756
0 (2,2) (3,3)
1 (13,0) (11,0)
1 null null
2 (2,14) (2,12)
2 null null
3 (14,14) (12,12)
3 null null
0 (0,0) (2,2)
0 null null
1 (13,2) (13,3)
2 (1,14) (3,12)
2 null null
3 (15,15) (14,14)
0 (2,2) (4,4)
0 null null
1 (12,0) (11,1)
2 (1,12) (2,11)
3 (14,14) (15,15)
0 (1,2) (2,3)
1 (13,1) (12,2)
2 (1,13) (3,13)
2 (3,13) (1,13)
2 null null
3 (15,15) (14,14)
0 (3,0) (1,2)
0 (1,2) (3,4)
0 (3,4) (5,4)
0 null null
1 (15,2) (13,2)
1 (13,2) (15,4)
1 null null
2 (0,12) (2,14)
2 null null
3 (14,14) (15,15)
0 (1,0) (3,2)
0 (3,2) (3,4)
0 null null
1 (12,1) (12,0)
2 (0,13) (0,12)
3 (15,15) (14,14)
0 (2,3) (4,5)
0 (4,5) (4,3)
0 (4,3) (6,5)
0 null null
1 (14,2) (13,2)
2 (2,11) (3,11)
3 (14,14) (15,15)
0 (0,3) (2,3)
0 (2,3) (4,5)
0 null null
1 (12,2) (12,3)
2 (2,14) (1,14)
3 (15,15) (14,14)
0 (0,1) (0,3)
0 (0,3) (2,3)
0 (2,3) (4,3)
0 null null
1 (15,4) (14,5)
2 (3,14) (4,15)
3 (14,14) (15,15)
0 (5,4) (7,6)
0 null null
1 (15,3) (15,4)
2 (3,11) (4,10)
3 (15,15) (14,14)
0 (3,3) (5,5)
0 (5,5) (7,5)
0 (7,5) (7,7)
0 null null
1 (13,2) (12,2)
2 (0,14) (0,13)
3 (14,14) (15,15)
0 (2,0) (4,2)
0 null null
1 (13,3) (15,3)
1 (15,3) (13,3)
1 (13,3) (11,3)
1 null null
2 (2,12) (1,12)
3 (15,15) (14,14)
0 (3,1) (5,3)
0 (5,3) (3,3)
0 (3,3) (5,5)
0 null null
1 (14,3) (15,2)
2 (2,13) (2,14)
3 (14,14) (15,15)
0 (4,4) (6,6)
0 (6,6) (8,8)
0 null null
1 (14,5) (14,6)
2 (1,12) (1,11)
3 (15,15) (14,14)
0 (0,2) (2,4)
0 (2,4) (4,4)
0 (4,4) (6,6)
0 null null
1 (14,6) (15,7)
2 (3,12) (4,11)
3 (14,14) (15,15)
0 (6,5) (8,7)
0 (8,7) (8,9)
0 null null
1 (11,0) (10,0)
2 (2,14) (2,13)
3 (15,15) (14,14)
0 (4,5) (6,5)
0 (6,5) (8,7)
0 null null
1 (12,2) (13,3)
2 (4,10) (3,9)
3 (14,14) (15,15)
0 (7,6) (9,8)
0 (9,8) (7,8)
0 (7,8) (9,10)
0 null null
1 (12,3) (12,2)
2 (0,15) (0,14)
3 (15,15) (14,14)
0 (3,4) (5,2)
0 (5,2) (3,2)
0 (3,2) (5,4)
0 (5,4) (5,6)
0 (5,6) (7,6)
0 (7,6) (9,8)
0 null null
1 (15,2) (14,3)
2 (0,14) (2,12)
2 (2,12) (0,10)
2 null null
3 (14,14) (15,15)
0 (4,2) (4,4)
0 null null
1 (11,3) (13,1)
1 null null
2 (0,12) (0,11)
3 (15,15) (14,14)
0 (4,3) (4,5)
0 (4,5) (6,5)
0 (6,5) (6,7)
0 null null
1 (13,1) (13,0)
2 (1,13) (2,12)
3 (14,14) (15,15)
0 (8,9) (10,11)
0 null null
1 (15,1) (15,2)
2 (4,15) (5,15)
3 (15,15) (14,14)
0 (7,7) (9,9)
0 (9,9) (9,11)
0 (9,11) (11,11)
0 null null
1 (15,4) (15,5)
2 (1,14) (1,13)
3 (14,14) (15,15)
0 (5,5) (7,7)
0 (7,7) (9,9)
0 null null
1 (15,2) (14,2)
2 (2,13) (3,13)
3 (15,15) (14,14)
0 (9,10) (11,12)
0 (11,12) (13,12)
0 null null
1 (10,0) (11,0)
2 (1,15) (1,14)
3 (14,14) (15,15)
0 (9,8) (9,10)
0 (9,10) (11,12)
0 null null
1 (11,0) (11,2)
1 (11,2) (13,2)
1 (13,2) (15,4)
1 null null
2 (5,15) (6,15)
3 (15,15) (14,14)
0 (10,11) (12,13)
0 null null
1 (15,4) (14,5)
2 (4,11) (4,12)
3 (14,14) (15,15)
0 (8,8) (10,10)
0 null null
1 (12,2) (14,4)
1 null null
2 (1,11) (1,10)
3 (15,15) (14,14)
0 (6,6) (7,7)
1 (13,0) (15,2)
1 (15,2) (13,4)
1 null null
