# Server version 0.08 running on 192.168.1.103:8123
# Game ID: 110
# Board class: halma.CCBoard
# Timeout: 300000
# Date: Sat Apr 05 23:04:34 EDT 2014
# Player 1: Player-0, 'random', running on 192.168.1.103
# Player 2: Player-1, '111111111', running on localhost
# Player 3: Player-2, '111111111', running on localhost
# Player 4: Player-3, 'random', running on 192.168.1.103
START Player-0 random
START Player-1 111111111
START Player-2 111111111
START Player-3 random
0 (1,2) (1,4)
0 (1,4) (1,2)
0 null null
1 (14,3) (13,4)
2 (2,13) (3,12)
3 (14,15) (12,13)
3 (12,13) (14,15)
3 null null
0 (2,2) (2,3)
1 (13,2) (12,3)
2 (1,13) (2,12)
3 (14,12) (13,12)
0 (0,3) (1,4)
1 (15,3) (14,4)
2 (3,12) (4,11)
3 (12,15) (11,14)
0 (2,1) (0,3)
0 (0,3) (2,1)
0 (2,1) (0,3)
0 null null
1 (14,4) (13,5)
2 (1,15) (1,13)
2 (1,13) (3,11)
2 (3,11) (5,11)
2 null null
3 (15,12) (15,11)
0 (2,3) (3,3)
1 (14,0) (12,2)
1 (12,2) (12,4)
1 (12,4) (14,4)
1 (14,4) (12,6)
1 null null
2 (2,12) (3,11)
3 (11,14) (10,14)
0 (3,3) (2,4)
1 (14,1) (14,3)
1 (14,3) (12,5)
1 (12,5) (12,7)
1 null null
2 (0,12) (2,12)
2 (2,12) (4,10)
2 (4,10) (4,12)
2 (4,12) (6,10)
2 null null
3 (10,14) (11,14)
0 (1,3) (2,2)
1 (13,4) (13,6)
1 (13,6) (11,8)
1 null null
2 (0,14) (0,12)
2 (0,12) (2,12)
2 (2,12) (4,10)
2 (4,10) (6,12)
2 null null
3 (13,13) (13,11)
3 null null
0 (2,4) (3,3)
1 (13,5) (11,7)
1 (11,7) (11,9)
1 null null
2 (5,11) (7,9)
2 null null
3 (12,14) (13,13)
0 (0,3) (1,3)
1 (12,6) (12,8)
1 (12,8) (10,8)
1 (10,8) (12,10)
1 (12,10) (14,12)
1 (14,12) (12,14)
1 (12,14) (10,14)
1 null null
2 (6,10) (8,8)
2 null null
3 (13,11) (13,10)
0 (1,2) (2,3)
1 (12,7) (10,9)
1 (10,9) (12,9)
1 (12,9) (14,11)
1 (14,11) (12,13)
1 (12,13) (10,15)
1 (10,15) (10,13)
1 (10,13) (12,15)
1 null null
2 (7,9) (9,7)
2 null null
3 (13,12) (14,12)
0 (2,0) (2,1)
1 (15,0) (14,1)
2 (6,12) (7,11)
3 (11,14) (10,13)
0 (1,4) (3,2)
0 (3,2) (3,4)
0 (3,4) (1,2)
0 (1,2) (1,4)
0 (1,4) (1,2)
0 (1,2) (3,4)
0 (3,4) (1,2)
0 (1,2) (3,2)
0 (3,2) (1,2)
0 (1,2) (3,2)
0 null null
1 (10,14) (9,15)
2 (1,12) (2,11)
3 (10,13) (11,13)
