# Server version 0.08 running on 192.168.1.103:8123
# Game ID: 121
# Board class: halma.CCBoard
# Timeout: 300000
# Date: Sat Apr 05 23:29:38 EDT 2014
# Player 1: Player-0, '111111111', running on localhost
# Player 2: Player-1, '111111111', running on localhost
# Player 3: Player-2, 'random', running on 192.168.1.103
# Player 4: Player-3, 'random', running on 192.168.1.103
START Player-0 111111111
START Player-1 111111111
START Player-2 random
START Player-3 random
0 (1,1) (3,3)
0 null null
1 (14,1) (12,3)
1 null null
2 (2,13) (0,11)
2 (0,11) (2,13)
2 (2,13) (0,11)
2 null null
3 (13,13) (13,12)
0 (1,0) (3,2)
0 (3,2) (3,4)
0 null null
1 (14,0) (12,2)
1 (12,2) (12,4)
1 null null
2 (0,14) (2,12)
2 (2,12) (0,14)
2 (0,14) (2,12)
2 null null
3 (14,14) (13,13)
0 (0,2) (2,4)
0 (2,4) (4,4)
0 null null
1 (15,2) (13,4)
1 (13,4) (11,4)
1 null null
2 (0,12) (0,10)
2 (0,10) (0,12)
2 (0,12) (0,14)
2 (0,14) (0,12)
2 (0,12) (0,10)
2 (0,10) (0,12)
2 (0,12) (0,10)
2 (0,10) (0,12)
2 null null
3 (12,14) (14,14)
3 (14,14) (12,12)
3 (12,12) (14,14)
3 (14,14) (12,14)
3 (12,14) (14,14)
3 (14,14) (12,14)
3 (12,14) (14,14)
3 null null
0 (0,1) (2,3)
0 (2,3) (4,5)
0 null null
1 (15,1) (13,3)
1 (13,3) (11,5)
1 null null
2 (2,14) (3,13)
3 (14,12) (15,11)
0 (3,3) (5,5)
0 null null
1 (12,3) (14,1)
1 (14,1) (12,3)
1 (12,3) (10,5)
1 null null
2 (2,15) (4,15)
2 (4,15) (2,13)
2 (2,13) (4,13)
2 (4,13) (2,15)
2 (2,15) (4,13)
2 null null
3 (13,12) (14,11)
0 (4,4) (6,6)
0 null null
1 (11,4) (13,4)
1 (13,4) (11,4)
1 (11,4) (9,6)
1 null null
2 (0,13) (2,13)
2 (2,13) (2,11)
2 (2,11) (2,13)
2 (2,13) (2,11)
2 (2,11) (0,13)
2 (0,13) (2,15)
2 null null
3 (13,14) (12,13)
0 (3,4) (5,6)
0 (5,6) (7,6)
0 null null
1 (12,4) (10,6)
1 (10,6) (8,6)
1 null null
2 (4,13) (2,13)
2 (2,13) (4,13)
2 null null
3 (15,13) (14,12)
0 (4,5) (6,5)
0 (6,5) (8,7)
0 null null
1 (11,5) (9,5)
1 (9,5) (7,7)
1 null null
2 (2,12) (3,11)
3 (14,11) (13,12)
0 (6,6) (8,8)
0 null null
1 (9,6) (11,4)
1 (11,4) (9,6)
1 (9,6) (7,8)
1 null null
2 (1,13) (0,13)
3 (14,12) (13,11)
0 (1,3) (1,1)
0 (1,1) (3,3)
0 null null
1 (12,1) (14,1)
1 (14,1) (12,3)
1 null null
2 (3,15) (4,15)
3 (13,11) (14,11)
0 (2,2) (4,4)
0 (4,4) (6,6)
0 null null
1 (13,2) (15,4)
1 (15,4) (13,2)
1 (13,2) (11,4)
1 (11,4) (9,6)
1 null null
2 (3,13) (5,13)
2 (5,13) (3,13)
2 null null
3 (14,14) (12,12)
3 null null
0 (2,0) (4,2)
0 (4,2) (2,0)
